Title,Released,imdbRating,imdbID,Downloaded?
Hold Me While I'm Naked,1966-04-23,5.4,tt0060511,
Blow-Up,1966-12-18,7.5,tt0060176,
Sedmikrásky,1966-12-30,7.3,tt0060959,YT
Da zui xia,1966-04-07,6.9,tt0059079,
Seconds,1966-05-16,7.6,tt0060955,
Persona,1966-08-31,8.1,tt0060827,
Au hasard Balthazar,1966-05-25,7.8,tt0060138,
Masculin féminin,1966-03-22,7.5,tt0060675,YT
Report,1967-01-01,6.4,tt0130976,L
2 ou 3 choses que je sais d'elle,1967-03-17,6.6,tt0060304,
Belle de jour,1967-03-24,7.7,tt0061395,
Cool Hand Luke,1967-10-31,8.1,tt0061512,
"Csillagosok, katonák",1967-11-04,7.6,tt0061537,
Point Blank,1967-08-30,7.3,tt0062138,
Week End,1967-12-29,7,tt0062480,
Wavelength,1967-03-17,5.4,tt0127354,L
Ostre sledované vlaky,1966-11-18,7.6,tt0060802,YT
Terra em Transe,1967-05-03,7.3,tt0062352,YT
In the Heat of the Night,1967-08-02,7.9,tt0061811,
Marketa Lazarová,1967-10-06,7.9,tt0063278,YT
"Horí, má panenko",1967-12-15,7.4,tt0061781,YT
Viy,1967-11-27,7.2,tt0062453,YT
Hombre,1967-03-21,7.4,tt0061770,
Gaav,1969-01-01,7.9,tt0064356,YT
If....,1968-12-19,7.4,tt0063850,L
David Holzman's Diary,1967-01-01,6.5,tt0062864,L
Memorias del subdesarrollo,1968-08-19,7.6,tt0063291,YT
High School,1968-11-13,7.6,tt0064429,Y
Targets,1968-08-15,7.3,tt0063671,
Skammen,1968-09-29,8,tt0063611,
The Producers,1967-11-22,7.5,tt0063462,
Z,1969-02-26,8.2,tt0065234,YT
Fellini - Satyricon,1969-09-03,6.8,tt0064940,
Andrey Rublyov,1966-12-16,8.1,tt0060107,YT
Sayat Nova,1969-10-01,7.6,tt0063555,YT
Xia nü,1971-11-18,7.5,tt0064451,
Kes,1969-11-14,7.9,tt0064541,
Lucía,1968-10-01,7.1,tt0064609,YT
In the Year of the Pig,1969-02-26,7.4,tt0064482,YT
The Wild Bunch,1969-06-18,7.9,tt0065214,
Ma nuit chez Maud,1969-05-15,7.8,tt0064612,
Tristana,1970-03-18,7.4,tt0066491,
Il conformista,1970-07-01,7.9,tt0065571,L
Le boucher,1970-02-27,7.3,tt0064106,
El Topo,1970-12-18,7.2,tt0067866,L
Five Easy Pieces,1970-09-12,7.4,tt0065724,
Deep End,1970-09-01,7.2,tt0066122,L
Strategia del ragno,1970-10-25,6.9,tt0066413,L
Ucho,1990-01-01,7.7,tt0066498,
Little Big Man,1970-12-23,7.6,tt0065988,L
L'uccello dalle piume di cristallo,1970-06-24,7.1,tt0065143,L
Zabriskie Point,1970-02-05,6.9,tt0066601,YT
Performance,1970-08-03,6.8,tt0066214,
Woodstock,1970-03-26,8.1,tt0066580,
Gimme Shelter,1970-12-06,7.8,tt0065780,YT
Il giardino dei Finzi Contini,1970-12-04,7.3,tt0065777,
Le chagrin et la pitié,1969-09-18,8.2,tt0066904,
The Devils,1971-07-16,7.8,tt0066993,
The Hired Hand,1971-08-11,7,tt0067204,YT
W.R. - Misterije organizma,1971-05-01,6.7,tt0067958,
Walkabout,1971-05-16,7.6,tt0067959,
Klute,1971-06-25,7.1,tt0067309,
Harold and Maude,1971-12-20,7.9,tt0067185,L
Még kér a nép,1972-03-09,6.8,tt0067467,
Get Carter,1971-02-03,7.3,tt0067128,
Shaft,1971-06-25,6.6,tt0067741,
Sweet Sweetback's Baadasssss Song,1971-03-31,5.5,tt0067810,
Le souffle au coeur,1971-04-28,7.6,tt0067778,
Straw Dogs,1971-11-01,7.4,tt0067800,L
Two-Lane Blacktop,1971-07-07,7.2,tt0067893,
Wake in Fright,1971-05-13,7.6,tt0067541,YT
"Aguirre, der Zorn Gottes",1972-12-29,7.8,tt0068182,YT
Cabaret,1972-02-13,7.8,tt0068327,
Solyaris,1972-02-05,8,tt0069293,YT
Viskningar och rop,1972-12-21,8,tt0069467,
Le charme discret de la bourgeoisie,1972-09-15,7.8,tt0068361,
Ultimo tango a Parigi,1972-10-14,6.9,tt0070849,L
Die bitteren Tränen der Petra von Kant,1972-06-25,7.6,tt0068278,
Fat City,1972-06-26,7.3,tt0068575,
The Heartbreak Kid,1972-12-17,7,tt0068687,YT
Pink Flamingos,1972-03-17,6,tt0069089,
Sleuth,1972-12-10,8,tt0069281,YT
Super Fly,1972-08-04,6.4,tt0069332,L
The Sting,1973-12-25,8.3,tt0070735,
La maman et la putain,1973-05-01,7.8,tt0070359,
High Plains Drifter,1973-04-06,7.4,tt0068699,
Badlands,1973-10-15,7.7,tt0069762,YT
Papillon,1973-12-16,8,tt0070511,
The Long Goodbye,1973-03-07,7.5,tt0070334,
The Wicker Man,1973-12-06,7.5,tt0070917,
Enter the Dragon,1973-08-19,7.6,tt0070034,
Serpico,1973-12-05,7.7,tt0070666,
