Title,Released,imdbRating,imdbID,Downloaded?
Daleks' Invasion Earth 2150 A.D.,1966-08-05,6.1,tt0060278,Y
La battaglia di Algeri,1966-08-31,8.1,tt0058946,Y
Fahrenheit 451,1966-09-15,7.2,tt0060390,Y
Manos: The Hands of Fate,1966-11-15,1.9,tt0060666,Y
"Il buono, il brutto, il cattivo",1966-12-23,8.8,tt0060196,Y
Les demoiselles de Rochefort,1967-03-08,7.7,tt0062873,Y
Casino Royale,1967-04-13,5.1,tt0061452,Y
Warrendale,1967-05-01,7.7,tt0062474,Y
You Only Live Twice,1967-06-12,6.9,tt0062512,Y
Kingu Kongu no gyakushû,1967-07-22,5.6,tt0061868,Y
Bonnie and Clyde,1967-08-04,7.8,tt0061418,Y
The Jungle Book,1967-10-18,7.6,tt0061852,Y
"Charlie, the Lonesome Cougar",1967-10-19,6.8,tt0062793,Y
Le samouraï,1967-10-25,8.1,tt0062229,
Playtime,1967-12-16,7.9,tt0062136,Y
The Graduate,1967-12-20,8,tt0061722,Y
Asterix the Gaul,1967-12-20,6.6,tt0061369,YT
Planet of the Apes,1968-02-08,8,tt0063442,Y
Vargtimmen,1968-02-19,7.6,tt0063759,Y
Romeo and Juliet,1968-03-04,7.6,tt0063518,Y
Les biches,1968-03-22,7,tt0062728,Y
2001: A Space Odyssey,1968-04-02,8.3,tt0062622,Y
Rosemary's Baby,1968-06-12,8,tt0063522,Y
Doktor Glas,1968-06-12,6.6,tt0062899,Y
Yellow Submarine,1968-07-17,7.4,tt0063823,Y
They Saved Hitler's Brain,1968-08-18,2.6,tt0265870,Y
Night of the Living Dead,1968-10-01,7.9,tt0063350,Y
Faces,1968-10-17,7.6,tt0062952,Y
Asterix and Cleopatra,1968-12-19,7.2,tt0062687,Y
C'era una volta il West,1968-12-20,8.5,tt0064116,Y
Midnight Cowboy,1969-05-25,7.8,tt0064665,Y
Easy Rider,1969-07-14,7.3,tt0064276,Y
Butch Cassidy and the Sundance Kid,1969-09-23,8,tt0064115,Y
A Married Couple,1969-11-06,7.6,tt0064640,Y
Patton,1969-12-04,7.9,tt0066206,Y
On Her Majesty's Secret Service,1969-12-18,6.7,tt0064757,Y
Topaz,1969-12-19,6.2,tt0065112,
MASH,1970-01-25,7.4,tt0066026,Y
Beneath the Planet of the Apes,1970-05-26,6.1,tt0065462,Y
Myra Breckinridge,1970-06-24,4.4,tt0066115,Y
Wanda,1970-09-01,7.1,tt0067961,Y
The AristoCats,1970-12-11,7.1,tt0065421,Y
Wuthering Heights,1970-12-25,6.5,tt0066585,Y
Johnny Got His Gun,1971-05-14,7.9,tt0067277,Y
Escape from the Planet of the Apes,1971-05-21,6.3,tt0067065,Y
Willy Wonka & the Chocolate Factory,1971-06-30,7.8,tt0067992,Y
The French Connection,1971-10-07,7.7,tt0067116,Y
Bedknobs and Broomsticks,1971-10-07,7.1,tt0066817,Y
The Last Picture Show,1971-10-22,8,tt0067328,Y
Diamonds Are Forever,1971-12-14,6.6,tt0066995,Y
A Clockwork Orange,1971-12-19,8.3,tt0066921,Y
Minnie and Moskowitz,1971-12-22,7.3,tt0067433,Y
Dirty Harry,1971-12-23,7.7,tt0066999,Y
The Godfather,1972-03-14,9.2,tt0068646,Y
Conquest of the Planet of the Apes,1972-06-14,6.1,tt0068408,Y
Frenzy,1972-06-21,7.4,tt0068611,
Night of the Lepus,1972-07-26,4.2,tt0069005,Y
Deliverance,1972-07-30,7.7,tt0068473,Y
Journey Back to Oz,1972-12-14,6.1,tt0067280,L
Soylent Green,1973-04-19,7.1,tt0070723,Y
Battle for the Planet of the Apes,1973-06-13,5.5,tt0069768,Y
Jesus Christ Superstar,1973-06-26,7.4,tt0070239,Y
Live and Let Die,1973-06-27,6.8,tt0070328,Y
American Graffiti,1973-08-02,7.4,tt0069704,Y
F for Fake,1973-09-01,7.8,tt0072962,Y
Robin Hood,1973-11-08,7.6,tt0070608,Y
The Three Musketeers,1973-12-11,7.2,tt0072281,Y
Magnum Force,1973-12-25,7.2,tt0070355,Y
The Exorcist,1973-12-26,8,tt0070047,Y
The Great Gatsby,1974-03-29,6.4,tt0071577,Y
Chinatown,1974-06-20,8.2,tt0071315,Y
The Texas Chain Saw Massacre,1974-10-11,7.5,tt0072271,Y
Black Christmas,1974-10-11,7.2,tt0071222,Y
The Four Musketeers: Milady's Revenge,1974-10-31,7,tt0073012,Y
The Enigma of Kaspar Hauser,1974-11-01,7.8,tt0071691,Y
A Woman Under the Influence,1974-11-18,8.2,tt0072417,Y
Murder on the Orient Express,1974-11-21,7.3,tt0071877,Y
The Antichrist,1974-11-22,5.7,tt0071150,Y
The Godfather: Part II,1974-12-12,9,tt0071562,Y
Young Frankenstein,1974-12-15,8,tt0072431,Y
The Man with the Golden Gun,1974-12-19,6.8,tt0071807,Y
Winnie the Pooh and Tigger Too,1974-12-20,7.9,tt0072410,YT
The Count of Monte-Cristo,1975-01-10,7,tt0072824,Y
Escape to Witch Mountain,1975-03-21,6.4,tt0072951,Y
Monty Python and the Holy Grail,1975-04-27,8.2,tt0071853,N
Jaws,1975-06-20,8,tt0073195,N
One Flew Over the Cuckoo's Nest,1975-11-19,8.7,tt0073486,Y
Barry Lyndon,1975-12-18,8.1,tt0072684,Y
Taxi Driver,1976-02-08,8.2,tt0075314,Y
Family Plot,1976-04-09,6.8,tt0074512,
The Omen,1976-06-06,7.5,tt0075005,Y
The Message,1976-07-29,8.2,tt0074896,Y
La flûte à six schtroumpfs,1976-10-07,6,tt0074539,YT
The Twelve Tasks of Asterix,1976-10-20,7.7,tt0072901,N
Rocky,1976-11-21,8.1,tt0075148,Y
Network,1976-11-27,8.1,tt0074958,Y
Freaky Friday,1976-12-17,6.3,tt0076054,Y
Mikey and Nicky,1976-12-21,7.4,tt0074901,Y
The Enforcer,1976-12-22,6.7,tt0074483,Y
The Man in the Iron Mask,1977-01-17,6.7,tt0074853,YT
The Many Adventures of Winnie the Pooh,1977-03-11,7.6,tt0076363,Y
Annie Hall,1977-03-27,8,tt0075686,Y
Star Wars: Episode IV - A New Hope,1977-05-25,8.6,tt0076759,Y
The Prince and the Pauper,1977-06-03,6.3,tt0077381,Y
Exorcist II: The Heretic,1977-06-17,3.8,tt0076009,Y
The Rescuers,1977-06-22,6.9,tt0076618,Y
The Spy Who Loved Me,1977-07-07,7.1,tt0076752,Y
Bröderna Lejonhjärta,1977-09-23,7.2,tt0075790,Y
Pete's Dragon,1977-11-03,6.4,tt0076538,Y
Close Encounters of the Third Kind,1977-11-16,7.6,tt0075860,Y
Saturday Night Fever,1977-12-14,6.8,tt0076666,Y
Opening Night,1977-12-25,8,tt0079672,Y
Return from Witch Mountain,1978-03-10,5.9,tt0078158,Y
Damien: Omen II,1978-06-09,6.3,tt0077394,Y
Grease,1978-06-16,7.2,tt0077631,Y
Jaws 2,1978-06-16,5.8,tt0077766,Y
The Cat from Outer Space,1978-06-30,6.1,tt0077305,Y
Dawn of the Dead,1978-09-01,7.9,tt0077402,Y
Dr. Strange,1978-09-06,5.2,tt0077469,Y
The Boys from Brazil,1978-10-04,7,tt0077269,Y
Zui quan,1978-10-05,7.5,tt0080179,Y
Watership Down,1978-10-14,7.6,tt0078480,Y
The Wiz,1978-10-24,5.5,tt0078504,Y
Halloween,1978-10-25,7.7,tt0077651,Y
The Thief of Baghdad,1978-11-23,6,tt0078385,YT
The Deer Hunter,1978-12-08,8.1,tt0077416,Y
Superman,1978-12-10,7.3,tt0078346,Y
The Small One,1978-12-16,7.7,tt0078281,L
Nosferatu: Phantom der Nacht,1979-01-17,5.4,tt0079641,Y
Captain America,1979-01-19,3.8,tt0078937,L
The Warriors,1979-02-09,7.6,tt0080120,Y
Jezebel,1979-03-09,6.7,tt7103742,Y
Mad Max,1979-04-12,6.9,tt0079501,Y
Manhattan,1979-04-18,7.9,tt0079522,Y
Apocalypse Now,1979-05-19,8.4,tt0078788,Y
Alien,1979-05-25,8.4,tt0078748,Y
Rocky II,1979-06-15,7.3,tt0079817,Y
Moonraker,1979-06-26,6.3,tt0079574,Y
Monty Python's Life of Brian,1979-08-17,8.1,tt0079470,N
10,1979-10-05,6.1,tt0078721,Y
All Quiet on the Western Front,1979-11-14,7.1,tt0078753,Y
Banjo the Woodpile Cat,1979-11-16,6.8,tt0154203,Y
Captain America II: Death Too Soon,1979-11-23,4.1,tt0078938,L
Star Trek: The Motion Picture,1979-12-07,6.4,tt0079945,Y
Jack Frost,1979-12-13,7,tt0079357,Y
All That Jazz,1979-12-20,7.9,tt0078754,Y
Brave New World,1980-03-07,6.7,tt0080468,Y
Friday the 13th,1980-05-09,6.4,tt0080761,Y
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,8.7,tt0080684,Y
The Shining,1980-05-23,8.4,tt0081505,Y
The Blues Brothers,1980-06-20,7.9,tt0080455,Y
Airplane!,1980-06-27,7.7,tt0080339,Y
Xanadu,1980-08-08,5.3,tt0081777,Y
The Elephant Man,1980-10-03,8.1,tt0080678,Y
Gates of Heaven,1980-10-19,7.4,tt0077598,Y
Raging Bull,1980-11-14,8.2,tt0081398,Y
Superman II,1980-12-04,6.8,tt0081573,Y
Blood Beach,1981-01-23,4.5,tt0082083,Y
Beneath the Skin,1981-01-27,7.7,tt11819200,L
The Final Conflict,1981-03-20,5.6,tt0082377,Y
Thief,1981-03-27,7.4,tt0083190,Y
Friday the 13th Part 2,1981-05-01,6.1,tt0082418,Y
Chariots of Fire,1981-05-15,7.2,tt0082158,Y
Outland,1981-05-22,6.6,tt0082869,Y
Indiana Jones and the Raiders of the Lost Ark,1981-06-12,8.4,tt0082971,N
For Your Eyes Only,1981-06-24,6.7,tt0082398,Y
The Fox and the Hound,1981-07-10,7.3,tt0082406,Y
Time Bandits,1981-07-10,7,tt0081633,Y
Das Boot,1981-09-17,8.3,tt0082096,Y
My Dinner with Andre,1981-10-11,7.8,tt0082783,Y
Halloween II,1981-10-30,6.5,tt0082495,Y
Varn!ng för Jönssonligan,1981-12-04,6.3,tt0083276,Y
Mad Max 2: The Road Warrior,1981-12-24,7.6,tt0082694,Y
Swamp Thing,1982-02-19,5.4,tt0084745,Y
Beyond Witch Mountain,1982-02-20,5.8,tt0249397,L
Conan the Barbarian,1982-03-16,6.9,tt0082198,Y
Cat People,1982-04-02,6.2,tt0083722,Y
Pink Floyd: The Wall,1982-05-23,8,tt0084503,L
E.T. the Extra-Terrestrial,1982-05-26,7.8,tt0083866,Y
Rocky III,1982-05-28,6.8,tt0084602,Y
Star Trek II: The Wrath of Khan,1982-06-04,7.7,tt0084726,Y
Poltergeist,1982-06-04,7.3,tt0084516,Y
Blade Runner,1982-06-25,8.1,tt0083658,Y
The Thing,1982-06-25,8.1,tt0084787,Y
The Secret of NIMH,1982-07-02,7.6,tt0084649,Y
TRON,1982-07-09,6.8,tt0084827,Y
Fast Times at Ridgemont High,1982-08-13,7.2,tt0083929,Y
Friday the 13th Part III,1982-08-13,5.7,tt0083972,Y
Jönssonligan & DynamitHarry,1982-09-17,6.1,tt0084189,Y
First Blood,1982-10-22,7.7,tt0083944,Y
Halloween III: Season of the Witch,1982-10-22,5,tt0085636,Y
Airplane II: The Sequel,1982-12-10,6.2,tt0083530,Y
Possibly in Michigan,1983-01-01,7.5,tt7275680,L
The Sex and Violence Family Hour,1983-01-01,4.6,tt0086292,YT
The Meaning of Life,1983-03-31,7.5,tt0085959,Y
All in Good Taste,1983-05-06,3.1,tt0128037,Y
WarGames,1983-05-07,7.1,tt0086567,
Breathless,1983-05-13,5.9,tt0085276,Y
Star Wars: Episode VI - Return of the Jedi,1983-05-25,8.3,tt0086190,Y
Psycho II,1983-06-03,6.5,tt0086154,Y
Octopussy,1983-06-06,6.6,tt0086034,Y
Superman III,1983-06-12,5,tt0086393,Y
Jaws 3-D,1983-06-22,3.7,tt0085750,Y
Twilight Zone: The Movie,1983-06-24,6.5,tt0086491,Y
Staying Alive,1983-07-11,4.7,tt0086361,L
Risky Business,1983-08-05,6.8,tt0086200,Y
Nightmares,1983-09-09,5.8,tt0086014,Y
